"0","23","Which good fall","4726","2006-10-09 00:45:27","Mouth third economy both morning themselves party crime no offer born decade evidence hard protect act herself this","0.0"
"1","6","Town all evening","2547","2000-01-19 11:24:34","Doctor lawyer player course next phone very hair under paper size while budget seven after","3.2"
"2","260","Vote first usually","1419","2000-08-21 17:02:23","Sea day challenge Congress individual north I try she safe building score mean claim serious name assume she rate great","3.2"
"3","124","Power hot student technology","1433","1975-01-08 20:58:09","Plan suggest now third benefit which wall face behind total season compare tonight blue strategy bit technology hundred such miss","1.3"
"4","151","Describe current seem usually","4957","2002-02-26 14:07:04","His personal billion gun chair clearly play north respond director response foreign at determine grow lawyer ever drive foreign someone","4.6"
"5","378","Data parent me unit","1300","1970-12-26 15:24:45","Call carry sound station property model activity very race","2.6"
"6","256","Only way","3948","1989-02-17 17:45:39","Economy process drug position themselves window not girl several speak","4.6"
"7","383","Edge hundred","3323","1998-06-19 21:04:55","Newspaper laugh along fight view religious kid least situation design media direction both while wrong law east","1.6"
"8","38","Work gun what PM","4568","1991-03-08 11:16:00","Ask someone argue become admit radio write skill fast","3.2"
"9","191","According the before against","4666","1994-11-23 18:59:50","Song relationship direction strong less safe fight source local","0.7"
"10","40","Month interest continue bank similar","1334","2022-01-30 12:35:39","Before age eight charge add art bank mean fund involve policy program visit government table others","1.1"
"11","390","Task worry","580","1971-07-03 17:33:23","Land person product quickly half cover own president car","4.3"
"12","402","Nature idea night","4859","1999-06-28 23:38:20","Drug find consumer write treat drive court management pay write it senior","3.1"
"13","463","Check person","4721","1990-09-16 15:31:28","Large everything upon main benefit pull hand who enter","0.9"
"14","422","Later where","4005","1970-12-26 15:23:56","Especially tend point third support improve change hundred little me benefit nation PM item black away how painting control","2.9"
"15","76","Thank wonder","1596","1981-09-05 23:55:54","Unit when quickly sister fast generation over them gas style","1.8"
"16","39","Expert close enough arrive allow","2281","1979-01-18 21:09:37","Why green as south anyone send improve firm relationship kind","3.6"
"17","261","Season religious plant","1476","1989-09-19 20:54:01","Somebody moment such tonight act drop through technology tell nation that mention black song range seven support","4.8"
"18","430","Speak exist nor","4751","1987-08-22 16:37:45","Music hot fund trouble name miss tough girl when store machine there","2.7"
