"0","149","Owner pretty available seven increase","1820","1997-07-07 12:30:32","Especially summer degree score direction time those single professor rest believe final sea me out concern anything room parent","0.1"
"1","242","Lose actually place high","2988","1970-08-21 23:01:10","Successful right address beat without have clearly structure class interest begin agreement positive although available population","3.6"
"2","142","Nothing size","1063","1973-08-22 08:00:28","Measure bed show evidence property area bed population why individual son early","4.4"
"3","100","Happy spring seek second still","210","1996-10-07 22:56:05","Argue up two lead half cut not far per science its matter member state available toward color","2.7"
"4","427","West well every learn begin","1358","2016-07-09 22:58:27","Manager heart opportunity seem type road commercial just serve ball area southern hair ten area voice part dream woman form","3.9"
"5","198","Role record","2610","2009-01-22 17:47:00","Together fall keep why step long start person information talk","1.4"
"6","210","Tax where central live","4325","1985-07-10 21:03:35","Body will enjoy tell police Democrat long change and represent loss give those instead cut professional book firm","4.0"
"7","255","Thousand artist special","4264","1981-07-07 14:26:26","Watch window area simple my design risk onto have painting we serve interest now paper situation","2.3"
"8","361","Left report to","418","1981-09-16 15:10:43","Pick party think next commercial one I seven control","4.0"
"9","343","Argue plant face hold no","1098","2009-04-26 11:21:31","Forward player music music drug sense school great from table current house hit now blood treatment hour produce theory suggest","0.3"
"10","361","Upon produce state moment","4153","2015-01-17 06:50:27","Blood federal both positive by own along enjoy situation shake color once above subject yes","1.6"
"11","84","Item remain","622","1992-10-25 16:18:45","Fact end social leg above sign according national opportunity practice call clearly decade bed reveal send learn","0.1"
"12","120","Hard staff","3165","2013-08-28 22:22:37","Assume ball grow laugh always pressure billion security few","2.3"
"13","429","I full","833","1997-04-16 19:56:31","Size again ball unit by should health central pressure ready capital open food sure responsibility then election write laugh area","3.6"
"14","53","Various thank look police newspaper","2325","2019-11-10 00:21:48","High high hit point thousand wife leave rest visit year doctor like short international really foreign task relate car","1.4"
"15","366","Security claim education actually","4221","1999-09-24 13:14:07","Term expert market model change traditional since benefit near project serve difference wall past four","3.2"
"16","391","Sign hear college","412","1993-08-08 02:56:23","Result television everyone check check to eat agency despite fact find want quite scientist bit process in attorney raise past upon","4.4"
"17","465","Possible election","646","2018-11-16 16:52:36","Inside crime mother science make too black energy actually son listen","2.4"
"18","451","Teach player two","3448","2009-09-11 22:45:35","Increase TV room Mr behind to memory from region meeting lawyer resource alone quickly memory security vote story","0.7"
"19","26","Return trial space near","1117","1972-08-15 08:31:53","Boy involve tonight third like clear manage season American keep simply pressure way industry require risk chance heavy","4.3"
"20","299","Treat ahead","1067","2003-10-21 16:59:56","Very all sign rather community pick between feel interview them them film avoid organization decide","3.0"
"21","81","Son measure picture","2263","2003-07-23 20:20:39","Practice religious reach agree simple such campaign computer president cause American unit","1.4"
"22","48","Agency finish put forget","3312","2014-01-21 04:37:25","Relationship power begin force thought fish education head begin indicate sure page modern marriage owner film southern over my deep","3.6"
"23","96","Food soldier contain","495","1976-12-03 01:01:39","Attorney understand work glass reflect none deep natural important almost free wrong employee develop baby staff medical son","0.3"
"24","266","Beat concern thousand truth","4825","2007-09-10 16:49:04","Trouble challenge able article so difficult beat happen to black discuss decision travel today seven lose","0.1"
"25","454","Car article officer","1342","2015-12-14 09:05:02","Suffer unit present success light figure know attorney community issue appear evidence president thousand put eight image rule","1.2"
"26","134","To win move","1547","1989-07-03 23:52:56","Shoulder few party store field meet beat painting himself shake way production check need machine now teach task strategy","4.1"
"27","80","Want spring stop","678","2023-02-04 16:17:28","Generation movie out give effect former garden and us leave ahead onto strong","1.0"
"28","209","Pressure local north discover apply","1700","1995-05-30 05:28:51","Thus inside add economic trade child ball none could society reality watch hear","3.5"
"29","313","Establish TV issue","3157","1973-02-17 16:38:15","Authority bag finally door election at house year avoid couple check now","4.5"
"30","141","Several each else any","589","1988-08-03 19:13:20","Somebody discussion various take with bar society man especially radio southern will information left born work second affect try economy","1.7"
"31","110","During wall even","1549","1977-03-06 05:50:40","Technology may member control support significant stay occur whether project consumer hotel teach relationship other finish","1.4"
"32","479","Society street listen person","4090","2012-01-16 02:27:00","Price finish minute already themselves chair contain case actually","4.5"
"33","136","Final prepare recognize","1307","1993-11-26 20:47:09","Protect all anyone between recognize personal establish identify cut employee recognize president claim class three weight for","0.7"
"34","173","House do customer","650","2006-09-14 11:36:23","Sign box language sit catch network message raise success","1.9"
"35","480","Series western threat","2516","1972-04-11 08:31:02","Try say carry carry option fact nice interesting speak very huge spend health left find","0.5"
"36","253","Conference travel cultural modern best","1318","1995-08-05 22:07:25","Force relationship ask behavior attack office whole region expert civil expert around production by participant brother whom","0.5"
"37","351","Purpose green","1550","1997-05-14 20:09:14","Way blue bring society remember before contain car result reflect rise religious run compare face indicate","0.6"
"38","437","Cold thought among likely","708","1982-10-15 07:43:26","Parent us ahead page class learn successful born once teacher option girl institution operation fact","2.3"
"39","305","Hair itself","4286","2015-06-16 01:36:00","Could beat democratic building lose center wait fire possible one mission production arrive media wear","2.1"
"40","97","Media less product","1033","2013-01-16 08:59:21","Prepare old open project though production seat try among budget guess down stock guess position positive bank somebody","4.6"
"41","408","View town","2964","1982-08-19 08:10:19","Herself available these statement inside billion available house final sell feeling","3.0"
"42","249","Detail rich evening car","319","1996-02-09 01:53:04","Career traditional view open inside mission get may occur street conference third important tonight","2.0"
"43","350","Cold short campaign including data","4402","1981-10-05 17:51:45","Increase behind environment business they take mean realize course activity customer individual piece enter choose quality girl practice song environment","2.6"
"44","115","Easy candidate take measure","1603","1993-01-13 11:40:48","Training development learn young one particularly use enjoy these later moment instead new","4.5"
"45","179","Tv term oil","4709","1999-12-07 21:02:58","Past west station environmental how drive detail drop pick write management sport TV nation","0.6"
"46","123","Air if important","824","2005-11-17 09:51:36","Name more friend less full cultural send across someone however feel between work end green anything","2.0"
