"0","43","1495","1979-04-02 14:41:38"
"1","8","1454","1996-08-06 18:30:56"
"2","44","1365","1982-10-29 13:14:08"
"3","69","1024","2017-12-27 06:40:31"
"4","33","597","2005-09-26 07:14:36"
"5","43","568","1983-01-29 18:54:37"
"6","12","572","1997-02-07 14:45:21"
"7","87","1323","2015-09-13 20:10:17"
"8","87","364","1977-04-27 04:22:18"
"9","1","1796","2001-10-28 01:06:27"
"10","17","768","1974-06-17 02:59:55"
"11","25","1771","1998-04-23 05:53:55"
"12","83","1628","1998-01-21 06:13:14"
"13","39","1465","2023-06-28 17:49:02"
"14","15","158","2023-03-18 10:38:44"
"15","19","1502","1995-06-12 13:43:40"
"16","33","680","2024-03-01 06:05:50"
"17","34","359","2016-02-12 00:07:11"
"18","51","2","1982-02-07 14:59:58"
"19","93","1040","2009-09-05 14:59:37"
"20","72","242","2016-09-01 04:02:18"
"21","93","141","2023-12-09 12:00:15"
"22","8","572","1976-11-13 18:54:20"
"23","83","550","1976-03-26 07:45:42"
"24","27","711","1993-06-23 06:58:20"
"25","85","1415","1991-01-14 10:54:29"
"26","22","292","1991-06-01 04:29:06"
"27","30","1008","1971-10-21 13:08:39"
"28","86","12","2018-04-14 21:31:18"
"29","61","91","1970-03-18 00:39:56"
"30","34","907","1994-05-10 23:24:31"
"31","82","681","2017-05-15 01:58:36"
"32","88","1140","1982-06-14 15:59:14"
"33","32","1944","2004-08-27 17:53:35"
"34","89","1512","1982-11-23 21:28:57"
"35","61","1497","2017-03-22 07:33:04"
"36","41","745","2015-06-13 14:20:20"
"37","5","650","1987-11-12 23:42:55"
"38","92","413","1989-06-11 10:24:31"
"39","48","1137","2003-02-22 08:06:29"
"40","3","769","1996-05-01 20:09:55"
"41","67","359","1975-02-19 10:55:45"
"42","62","982","1981-05-08 14:52:20"
"43","89","65","1972-01-30 12:25:52"
"44","85","513","2001-08-09 04:39:28"
"45","38","667","2023-12-13 02:48:46"
"46","10","439","2003-03-13 09:44:07"
"47","79","556","1981-06-08 05:30:38"
"48","74","1528","2002-05-11 10:01:22"
"49","85","468","2022-02-03 00:26:31"
"50","75","143","1992-11-24 22:31:11"
"51","66","1689","1976-06-04 01:12:33"
"52","86","180","1991-10-27 17:12:20"
"53","22","1667","2019-10-12 00:41:52"
"54","50","1139","1973-11-13 09:13:57"
"55","70","1792","1985-03-08 12:27:06"
"56","24","478","1982-02-05 08:47:50"
"57","52","55","2023-07-16 07:33:24"
"58","66","359","2005-01-11 15:56:43"
"59","79","1307","1997-10-26 18:22:22"
"60","40","865","1983-06-20 10:30:18"
"61","68","712","1998-02-19 13:33:44"
"62","72","432","1989-04-09 01:14:47"
"63","34","1973","2013-08-12 02:55:52"
"64","90","1836","1998-06-03 00:00:34"
"65","98","597","1997-06-27 00:20:27"
"66","20","1286","2012-09-30 06:17:54"
"67","41","1774","2019-03-03 21:49:00"
"68","27","513","2003-04-11 07:37:10"
"69","99","1480","1983-01-31 21:26:21"
"70","49","1532","2020-05-23 03:43:35"
"71","18","1365","1982-01-20 17:31:16"
"72","44","1459","1977-12-27 09:53:27"
"73","42","1075","2007-01-05 00:20:08"
"74","54","1731","2011-10-27 15:37:48"
"75","91","159","1982-02-19 15:04:25"
"76","59","123","2019-08-13 18:46:57"
"77","17","1852","1973-09-01 19:25:01"
"78","11","764","2002-06-10 04:46:34"
"79","96","940","1982-12-22 07:17:43"
"80","9","727","2017-08-05 21:14:43"
"81","77","426","1987-01-28 09:50:14"
"82","77","220","2005-08-14 23:01:49"
"83","45","895","2010-10-16 21:13:44"
"84","22","1826","2017-10-12 09:21:15"
"85","75","762","1996-06-08 14:10:10"
"86","67","1400","1992-01-12 00:53:19"
"87","4","1025","1993-03-11 21:35:54"
"88","30","1674","1977-10-22 17:42:06"
"89","3","1752","2002-03-24 08:20:22"
"90","81","64","1996-06-01 18:52:14"
"91","5","400","1982-06-11 02:59:29"
"92","40","1480","2015-03-03 04:38:39"
"93","10","399","1975-11-20 21:14:40"
"94","28","199","1984-05-14 12:14:27"
"95","15","1512","1994-08-13 23:32:27"
"96","35","729","1994-05-12 10:47:03"
"97","43","316","1972-10-25 02:35:55"
"98","21","229","1992-12-17 02:24:09"
"99","38","1321","1982-05-18 22:29:03"
"100","79","1288","1986-11-20 02:02:20"
"101","73","254","1986-10-01 04:48:38"
"102","13","806","2012-09-03 12:21:56"
"103","30","1178","1976-10-31 02:12:05"
"104","52","232","2012-03-26 07:41:45"
"105","14","1591","1996-07-22 00:53:18"
"106","24","178","2023-05-13 14:29:41"
"107","32","226","2011-05-15 03:00:12"
"108","86","368","1994-10-30 11:52:10"
"109","44","828","1993-10-28 08:29:21"
"110","18","317","2012-05-07 07:06:30"
"111","75","1628","2004-03-01 16:32:22"
"112","83","1336","1971-07-30 08:52:58"
"113","61","785","2000-08-29 03:19:21"
"114","85","715","1995-05-08 15:23:32"
"115","44","1512","2017-03-31 07:06:04"
"116","50","1594","1978-11-30 15:26:49"
"117","24","1584","1999-11-24 06:43:21"
"118","85","439","2020-07-26 03:24:24"
"119","31","1444","1979-08-23 04:14:51"
"120","33","742","2004-09-21 17:10:28"
"121","72","44","1999-08-05 10:36:40"
"122","27","457","1996-10-30 22:34:10"
"123","15","1332","1983-10-26 20:10:57"
"124","90","605","1975-05-12 13:47:07"
"125","14","1532","1972-08-03 13:05:59"
"126","43","1465","2009-08-01 09:01:22"
"127","16","237","2006-09-07 14:23:57"
"128","61","387","1997-09-09 01:55:03"
"129","58","199","2001-03-20 17:24:43"
"130","48","901","2015-11-14 14:21:26"
"131","42","1255","1971-02-22 14:11:33"
"132","91","594","1997-11-28 11:16:13"
"133","21","1113","1990-11-15 06:43:55"
"134","69","617","1970-02-17 07:12:14"
"135","72","1556","2000-03-30 22:16:47"
"136","50","1085","1982-11-05 15:38:05"
"137","50","634","1991-08-12 15:00:18"
"138","56","1363","2010-03-18 14:50:31"
"139","60","524","1994-03-23 14:11:20"
"140","81","113","1977-08-03 23:55:46"
"141","79","1760","2011-10-04 15:18:58"
"142","23","848","1975-12-15 12:56:30"
"143","47","279","2015-06-20 00:14:37"
"144","64","882","1996-07-15 05:19:56"
"145","39","1480","1974-10-15 06:32:06"
"146","84","559","1999-04-12 23:19:49"
"147","22","1601","1993-01-14 01:00:41"
"148","65","1501","2024-01-04 13:23:59"
"149","62","1183","1981-06-03 14:57:26"
"150","96","1470","2006-04-11 07:59:55"
"151","2","279","1996-05-25 12:51:40"
"152","66","1652","1972-04-20 17:14:03"
"153","32","165","1972-03-15 18:02:20"
"154","0","401","2018-09-02 18:39:33"
"155","46","1973","1999-08-06 23:17:11"
"156","54","1751","1972-04-16 13:27:24"
"157","62","1212","1992-11-04 21:54:15"
"158","35","1852","2015-12-05 04:55:26"
"159","15","1919","1992-03-08 07:40:14"
